age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
62,self-employed,3685,no,no,cellular,feb,3,-1,unknown,no
60,admin.,7336,no,no,cellular,mar,1,-1,unknown,no
33,admin.,177,yes,no,cellular,may,1,-1,unknown,no
50,technician,797,yes,no,unknown,may,1,-1,unknown,no
52,technician,0,no,yes,cellular,aug,1,-1,unknown,no
54,retired,2761,no,no,cellular,jul,1,-1,unknown,no
28,services,47,no,no,cellular,jul,2,-1,unknown,no
52,technician,425,yes,no,cellular,jan,2,254,failure,no
68,retired,4189,no,no,telephone,jul,2,-1,unknown,yes
45,technician,0,yes,no,cellular,dec,1,-1,unknown,yes
32,entrepreneur,1996,yes,no,cellular,nov,1,-1,unknown,no
47,technician,321,yes,yes,unknown,jul,1,-1,unknown,no
39,blue-collar,2303,yes,no,unknown,jun,3,-1,unknown,yes
43,management,175,yes,no,cellular,apr,4,337,other,no
23,student,556,yes,no,cellular,may,2,-1,unknown,no
45,admin.,0,yes,no,cellular,nov,5,-1,unknown,no
38,management,104,yes,no,cellular,may,3,-1,unknown,yes
55,retired,2312,no,no,unknown,jun,1,-1,unknown,no
31,self-employed,94,no,no,cellular,aug,2,-1,unknown,yes
40,technician,8379,no,no,unknown,jun,6,-1,unknown,no
48,services,-276,yes,yes,cellular,may,1,-1,unknown,yes
82,retired,211,no,no,telephone,apr,3,-1,unknown,no
49,technician,905,no,no,cellular,jun,1,-1,unknown,yes
30,blue-collar,364,yes,yes,cellular,feb,1,-1,unknown,no
71,retired,0,no,no,cellular,feb,1,171,success,yes
44,admin.,0,no,no,cellular,jul,1,-1,unknown,no
30,blue-collar,6281,no,no,cellular,apr,2,-1,unknown,yes
30,technician,0,no,no,cellular,aug,2,-1,unknown,no
55,housemaid,2152,no,no,unknown,jun,2,-1,unknown,yes
42,technician,2611,yes,no,cellular,jun,1,389,failure,yes
28,management,0,yes,no,cellular,jul,5,-1,unknown,yes
46,management,699,no,no,cellular,apr,1,87,failure,yes
28,self-employed,805,no,no,cellular,nov,5,170,failure,no
43,blue-collar,625,yes,no,unknown,sep,1,-1,unknown,no
53,technician,100,no,no,cellular,aug,4,-1,unknown,no
51,management,119,no,no,cellular,nov,1,165,failure,no
45,management,1199,no,no,telephone,feb,2,-1,unknown,no
42,services,154,yes,no,telephone,may,5,372,other,no
27,technician,261,yes,no,cellular,jan,2,247,failure,no
52,technician,475,yes,no,cellular,jul,3,-1,unknown,no
49,services,486,yes,yes,unknown,may,2,-1,unknown,no
61,management,175,no,no,telephone,aug,2,-1,unknown,yes
50,services,2376,yes,no,cellular,sep,1,-1,unknown,yes
73,retired,796,no,no,cellular,apr,1,182,success,yes
56,entrepreneur,51439,no,yes,cellular,jul,1,-1,unknown,no
38,technician,318,no,no,cellular,aug,1,182,success,yes
25,admin.,483,no,yes,cellular,feb,1,-1,unknown,yes
53,blue-collar,25,no,no,cellular,aug,2,-1,unknown,yes
58,retired,0,no,no,cellular,aug,1,-1,unknown,no
36,blue-collar,1023,yes,no,cellular,feb,2,-1,unknown,no
47,student,107,no,no,telephone,jul,8,-1,unknown,no
43,retired,860,no,no,telephone,oct,1,-1,unknown,yes
30,admin.,-213,yes,yes,unknown,may,1,-1,unknown,yes
45,technician,2403,no,no,cellular,nov,1,-1,unknown,no
47,unemployed,312,no,no,cellular,jul,1,-1,unknown,yes
31,management,924,no,no,cellular,jun,2,98,success,yes
59,management,2239,no,no,cellular,may,1,-1,unknown,yes
37,management,0,no,no,cellular,jan,2,196,other,yes
45,admin.,0,no,no,cellular,oct,1,-1,unknown,yes
43,blue-collar,184,no,yes,cellular,jul,11,-1,unknown,yes
32,technician,1710,yes,no,cellular,may,1,175,other,no
37,technician,189,no,no,cellular,jun,2,-1,unknown,yes
29,blue-collar,260,yes,no,unknown,jun,14,-1,unknown,yes
53,blue-collar,559,no,no,telephone,feb,5,-1,unknown,no
38,admin.,46,no,no,cellular,aug,2,-1,unknown,no
39,entrepreneur,1,yes,yes,unknown,may,1,-1,unknown,no
31,management,3340,no,no,cellular,sep,2,469,success,yes
28,technician,-1042,yes,no,unknown,jun,2,-1,unknown,yes
36,technician,341,no,no,cellular,feb,2,183,success,yes
39,blue-collar,1317,yes,no,cellular,nov,1,170,other,yes
30,blue-collar,297,no,no,cellular,apr,4,-1,unknown,yes
30,admin.,60,no,no,cellular,jan,2,-1,unknown,no
30,blue-collar,132,yes,no,unknown,may,1,-1,unknown,no
33,technician,4790,yes,no,cellular,apr,1,272,failure,no
32,management,20,no,no,cellular,aug,2,-1,unknown,yes
31,technician,120,no,no,cellular,aug,1,-1,unknown,yes
54,management,300,yes,no,cellular,nov,2,-1,unknown,yes
37,management,393,yes,no,cellular,aug,2,104,success,no
76,retired,2223,no,no,telephone,feb,1,-1,unknown,yes
59,management,1,yes,no,cellular,apr,1,-1,unknown,yes
38,management,413,no,no,cellular,oct,2,183,success,yes
41,management,0,no,no,cellular,sep,4,63,other,yes
33,technician,177,yes,yes,cellular,may,8,-1,unknown,no
45,blue-collar,594,yes,no,unknown,may,2,-1,unknown,yes
31,technician,200,no,no,cellular,aug,2,-1,unknown,no
27,admin.,0,yes,no,cellular,may,1,-1,unknown,yes
49,management,276,no,no,cellular,aug,5,-1,unknown,no
43,management,1,yes,yes,unknown,jun,8,-1,unknown,no
29,management,247,no,no,cellular,sep,2,587,failure,yes
38,technician,0,no,no,cellular,aug,2,-1,unknown,no
34,blue-collar,2595,yes,yes,cellular,apr,1,336,other,no
33,management,2485,yes,no,cellular,nov,2,-1,unknown,no
30,admin.,255,no,no,cellular,jan,1,-1,unknown,yes
33,management,455,yes,yes,unknown,may,10,-1,unknown,no
38,management,6158,yes,no,cellular,apr,5,145,failure,yes
43,management,388,yes,no,unknown,may,2,-1,unknown,yes
53,entrepreneur,288,no,no,unknown,may,1,-1,unknown,no
56,blue-collar,8,yes,no,unknown,may,2,-1,unknown,no
27,blue-collar,377,no,no,cellular,feb,2,-1,unknown,yes
28,self-employed,123,no,yes,telephone,oct,1,-1,unknown,yes
54,management,1303,no,no,cellular,feb,1,-1,unknown,yes
38,admin.,1988,no,no,cellular,mar,2,130,failure,yes
35,management,2161,no,no,cellular,sep,3,-1,unknown,yes
40,services,0,yes,no,cellular,jun,1,28,failure,no
33,blue-collar,5,yes,no,cellular,apr,2,-1,unknown,yes
39,technician,75,no,no,unknown,jun,1,-1,unknown,no
38,services,1222,yes,no,unknown,jun,2,-1,unknown,no
69,retired,324,no,no,cellular,feb,4,-1,unknown,yes
40,admin.,1412,no,no,cellular,jul,3,-1,unknown,no
37,management,3236,no,no,cellular,may,2,202,other,yes
38,management,441,yes,no,cellular,jan,1,-1,unknown,no
40,services,0,yes,yes,cellular,feb,2,-1,unknown,no
51,blue-collar,-92,yes,no,unknown,jun,4,-1,unknown,no
53,technician,2557,no,no,cellular,jul,4,182,success,no
50,management,1396,no,no,cellular,aug,6,-1,unknown,yes
35,blue-collar,503,yes,yes,unknown,may,2,-1,unknown,no
35,management,0,no,no,cellular,aug,5,-1,unknown,no
35,blue-collar,667,yes,no,cellular,may,5,324,other,no
46,technician,1590,yes,no,cellular,jul,2,-1,unknown,no
39,admin.,19,yes,no,cellular,jul,2,147,success,yes
55,housemaid,976,no,no,cellular,jun,1,94,other,yes
40,management,37,yes,no,unknown,may,1,-1,unknown,no
28,self-employed,1579,no,no,cellular,jan,1,91,failure,yes
59,admin.,1525,no,no,telephone,jul,2,-1,unknown,no
33,blue-collar,141,yes,no,unknown,may,2,-1,unknown,no
30,entrepreneur,12737,no,yes,cellular,nov,2,-1,unknown,yes
20,student,0,no,no,cellular,feb,5,91,failure,no
31,blue-collar,2591,yes,no,cellular,nov,1,-1,unknown,no
52,services,337,yes,no,unknown,may,3,-1,unknown,no
37,blue-collar,0,yes,no,cellular,apr,1,-1,unknown,no
72,self-employed,132,no,no,cellular,apr,1,-1,unknown,yes
32,technician,473,no,yes,cellular,may,3,-1,unknown,yes
59,retired,1035,yes,yes,cellular,aug,1,-1,unknown,no
43,management,693,yes,no,unknown,may,3,-1,unknown,no
32,technician,599,no,no,cellular,nov,1,-1,unknown,no
49,housemaid,0,yes,no,cellular,jul,3,-1,unknown,no
22,management,104,no,yes,cellular,apr,3,-1,unknown,yes
49,services,280,yes,no,telephone,jul,3,-1,unknown,no
49,management,4374,yes,no,cellular,jul,3,-1,unknown,no
53,management,720,yes,no,unknown,nov,1,-1,unknown,no
26,blue-collar,592,yes,yes,unknown,may,1,-1,unknown,no
48,blue-collar,741,yes,no,cellular,apr,1,-1,unknown,no
33,blue-collar,-306,yes,yes,unknown,may,4,-1,unknown,no
32,technician,1995,yes,no,cellular,apr,1,-1,unknown,yes
48,services,-139,no,no,cellular,may,2,-1,unknown,no
29,student,5,no,no,cellular,jul,5,-1,unknown,yes
33,management,0,yes,no,cellular,jul,1,-1,unknown,no
32,blue-collar,3166,yes,no,cellular,nov,3,-1,unknown,no
37,admin.,912,yes,no,cellular,may,3,328,other,yes
32,blue-collar,1504,yes,no,cellular,apr,2,-1,unknown,no
53,management,0,yes,no,cellular,jul,3,-1,unknown,no
56,admin.,1694,no,no,cellular,aug,10,-1,unknown,yes
55,blue-collar,0,no,no,unknown,jun,2,-1,unknown,yes
59,management,59,yes,no,unknown,may,1,-1,unknown,no
30,management,265,yes,no,unknown,may,4,-1,unknown,no
35,blue-collar,1792,yes,no,cellular,jul,6,-1,unknown,yes
27,blue-collar,567,no,no,cellular,may,3,182,success,yes
25,blue-collar,97,yes,no,unknown,may,1,-1,unknown,yes
42,admin.,-249,yes,no,cellular,jul,3,-1,unknown,no
34,unemployed,200,yes,no,unknown,may,6,-1,unknown,no
50,blue-collar,2590,yes,no,unknown,may,6,-1,unknown,no
32,technician,1279,yes,no,unknown,jun,3,-1,unknown,yes
28,self-employed,159,no,no,cellular,oct,2,420,other,yes
29,blue-collar,-565,yes,no,unknown,jun,3,-1,unknown,no
43,management,107,yes,yes,telephone,oct,1,-1,unknown,yes
38,management,413,no,no,cellular,apr,1,179,failure,yes
35,admin.,0,no,yes,cellular,jul,1,-1,unknown,no
36,self-employed,1240,no,no,cellular,jul,3,-1,unknown,yes
27,blue-collar,419,yes,no,unknown,jun,2,-1,unknown,yes
35,admin.,0,no,no,cellular,jul,6,-1,unknown,no
38,blue-collar,1686,yes,no,unknown,jun,28,-1,unknown,no
34,blue-collar,800,no,no,cellular,apr,1,-1,unknown,yes
55,management,12972,no,no,telephone,aug,1,-1,unknown,yes
31,technician,969,no,no,cellular,jun,1,-1,unknown,no
58,technician,786,yes,no,unknown,may,3,-1,unknown,no
36,student,417,no,no,cellular,feb,1,-1,unknown,yes
35,admin.,0,yes,no,cellular,may,1,-1,unknown,yes
36,blue-collar,409,yes,no,unknown,jun,3,-1,unknown,no
59,retired,514,no,no,cellular,may,6,90,success,yes
34,management,101,yes,no,cellular,aug,5,-1,unknown,no
27,admin.,73,no,no,cellular,jan,1,-1,unknown,no
37,technician,1824,yes,no,cellular,jul,2,324,other,no
29,management,224,yes,no,cellular,apr,2,81,failure,yes
41,blue-collar,5517,yes,no,cellular,jul,1,-1,unknown,yes
54,entrepreneur,0,no,no,unknown,jun,1,-1,unknown,no
35,management,2717,no,no,cellular,aug,6,-1,unknown,yes
31,management,459,no,no,cellular,aug,14,-1,unknown,no
76,retired,3049,no,no,cellular,mar,3,-1,unknown,yes
45,management,623,no,no,cellular,sep,3,-1,unknown,no
50,management,-470,yes,no,cellular,nov,2,160,failure,no
29,unemployed,497,yes,no,cellular,may,3,298,success,yes
40,management,0,yes,no,cellular,feb,2,182,failure,yes
39,management,3518,yes,no,cellular,may,1,-1,unknown,no
28,self-employed,4579,no,no,cellular,jan,2,-1,unknown,yes
37,blue-collar,13849,yes,no,unknown,may,5,-1,unknown,no
31,management,1812,no,no,cellular,apr,1,-1,unknown,yes
40,blue-collar,0,yes,no,unknown,may,2,-1,unknown,no
42,admin.,105,no,no,unknown,jun,4,-1,unknown,yes
48,unknown,3,no,no,cellular,aug,2,-1,unknown,no
27,technician,21,yes,no,cellular,may,1,356,failure,no
41,entrepreneur,707,no,no,unknown,jun,1,-1,unknown,yes
56,self-employed,0,no,no,cellular,aug,1,-1,unknown,no
41,self-employed,231,no,no,cellular,aug,2,-1,unknown,yes
29,unemployed,70,no,no,cellular,may,1,-1,unknown,yes
40,services,694,yes,no,cellular,jul,14,-1,unknown,no
32,services,24,yes,yes,cellular,may,1,-1,unknown,no
39,services,7066,yes,no,cellular,may,3,357,other,yes
36,blue-collar,29,yes,yes,cellular,jul,1,-1,unknown,no
39,entrepreneur,942,yes,no,cellular,aug,3,267,other,yes
47,blue-collar,2775,no,no,unknown,may,1,-1,unknown,no
46,admin.,171,yes,yes,cellular,oct,1,430,failure,no
35,technician,183,no,no,cellular,oct,1,52,failure,yes
34,blue-collar,199,yes,no,unknown,may,3,-1,unknown,no
51,technician,371,yes,yes,cellular,oct,1,-1,unknown,yes
49,services,1314,no,no,cellular,aug,14,-1,unknown,yes
36,admin.,110,yes,no,telephone,feb,1,-1,unknown,no
43,unemployed,983,yes,no,cellular,feb,1,-1,unknown,yes
31,admin.,622,no,no,cellular,jul,1,-1,unknown,yes
49,services,1830,yes,no,cellular,aug,1,179,success,yes
24,blue-collar,-203,yes,no,unknown,jun,3,-1,unknown,yes
69,retired,247,no,no,cellular,apr,2,-1,unknown,yes
33,blue-collar,697,no,no,cellular,feb,2,-1,unknown,yes
27,blue-collar,1049,no,no,telephone,jan,3,-1,unknown,no
36,services,526,yes,no,cellular,apr,2,324,other,no
39,management,0,no,no,cellular,aug,2,-1,unknown,no
34,technician,1279,yes,no,cellular,oct,3,91,success,yes
31,admin.,554,yes,no,cellular,feb,1,-1,unknown,no
32,management,2667,yes,no,cellular,mar,1,181,failure,yes
59,housemaid,2518,no,no,cellular,jul,3,-1,unknown,yes
30,blue-collar,228,no,no,cellular,feb,1,365,failure,no
48,blue-collar,559,yes,no,unknown,may,2,-1,unknown,no
46,technician,111,yes,no,cellular,nov,3,183,other,no
33,admin.,272,yes,no,cellular,jun,1,237,failure,yes
29,technician,940,yes,no,cellular,may,1,330,failure,no
65,retired,2416,no,no,cellular,feb,2,-1,unknown,yes
47,admin.,2232,no,no,cellular,may,1,103,success,yes
71,retired,4388,no,no,cellular,jul,2,-1,unknown,yes
49,management,350,no,no,cellular,aug,6,-1,unknown,no
35,technician,5724,yes,no,unknown,may,10,-1,unknown,yes
67,management,361,no,no,cellular,oct,2,-1,unknown,yes
29,admin.,613,yes,no,unknown,jun,1,-1,unknown,no
27,management,2071,no,no,cellular,jun,1,-1,unknown,yes
19,student,779,no,no,cellular,apr,4,-1,unknown,yes
28,blue-collar,3430,yes,no,unknown,jun,6,-1,unknown,no
31,management,0,no,no,cellular,aug,2,-1,unknown,no
34,management,6013,yes,no,cellular,may,1,-1,unknown,yes
47,admin.,70,yes,no,cellular,apr,4,374,success,yes
49,management,1050,yes,no,cellular,nov,1,-1,unknown,yes
50,admin.,1138,yes,yes,cellular,jul,8,-1,unknown,no
38,services,8876,no,no,cellular,feb,1,75,failure,no
48,self-employed,1559,no,no,cellular,dec,3,133,failure,no
70,retired,275,no,no,cellular,apr,1,-1,unknown,yes
30,self-employed,1785,no,no,unknown,oct,1,-1,unknown,yes
60,retired,439,no,yes,cellular,may,1,321,failure,yes
47,blue-collar,-337,yes,yes,cellular,may,1,-1,unknown,no
35,self-employed,524,yes,no,cellular,nov,4,-1,unknown,no
39,admin.,0,no,yes,unknown,jun,1,-1,unknown,no
59,retired,5583,yes,no,cellular,apr,1,-1,unknown,yes
50,technician,156,no,yes,cellular,jul,3,-1,unknown,yes
48,blue-collar,1230,yes,no,cellular,may,2,182,success,yes
25,admin.,760,yes,no,cellular,may,3,89,failure,yes
33,services,1852,no,no,telephone,feb,1,204,other,no
27,blue-collar,23,no,no,cellular,feb,2,-1,unknown,no
44,management,58,yes,no,cellular,jul,3,-1,unknown,no
76,retired,163,no,no,telephone,oct,1,-1,unknown,no
31,blue-collar,0,yes,no,unknown,aug,1,782,other,yes
29,management,2531,no,no,cellular,aug,1,-1,unknown,yes
48,management,313,no,no,cellular,may,1,-1,unknown,no
31,management,254,no,no,cellular,aug,8,-1,unknown,yes
36,services,1189,no,no,cellular,aug,1,-1,unknown,yes
33,blue-collar,863,yes,no,telephone,may,3,-1,unknown,yes
34,technician,127,no,no,cellular,jun,1,-1,unknown,yes
22,admin.,114,no,no,cellular,mar,1,-1,unknown,yes
42,admin.,30,yes,no,cellular,feb,1,266,failure,no
49,technician,808,yes,no,cellular,jan,1,-1,unknown,yes
31,technician,3338,yes,no,cellular,dec,2,-1,unknown,yes
28,admin.,762,no,no,cellular,sep,3,-1,unknown,yes
32,management,718,yes,no,cellular,dec,1,197,success,yes
33,management,2240,no,no,cellular,jun,1,-1,unknown,yes
42,technician,994,yes,no,cellular,nov,3,93,success,yes
28,unemployed,236,no,no,cellular,may,1,87,failure,yes
55,blue-collar,781,yes,no,cellular,feb,3,270,failure,no
40,blue-collar,668,yes,no,cellular,apr,2,318,other,no
35,technician,294,yes,no,cellular,mar,1,90,success,yes
26,management,-8,no,no,cellular,aug,2,-1,unknown,no
36,technician,1109,no,no,cellular,aug,2,-1,unknown,no
28,technician,3,no,no,telephone,may,8,349,failure,no
24,admin.,1295,no,no,cellular,apr,1,-1,unknown,yes
39,services,1179,no,no,cellular,may,1,-1,unknown,yes
46,blue-collar,993,yes,no,unknown,jun,1,-1,unknown,no
54,self-employed,1463,no,no,unknown,jun,1,-1,unknown,no
31,blue-collar,-575,yes,no,unknown,jun,9,-1,unknown,no
68,retired,2469,yes,no,telephone,jul,2,-1,unknown,yes
43,admin.,733,yes,no,cellular,may,1,187,success,yes
53,management,1624,no,no,cellular,aug,1,98,success,yes
59,blue-collar,229,yes,yes,unknown,may,1,-1,unknown,no
64,retired,4833,no,no,cellular,oct,1,181,failure,yes
44,entrepreneur,323,no,no,cellular,jul,2,181,failure,yes
43,blue-collar,3064,yes,no,cellular,nov,2,-1,unknown,yes
52,services,1000,no,no,cellular,aug,2,-1,unknown,yes
24,management,1030,no,no,cellular,mar,2,-1,unknown,yes
23,services,870,no,no,cellular,jul,4,-1,unknown,yes
33,technician,930,yes,no,cellular,may,5,359,failure,no
32,technician,660,no,no,cellular,oct,2,490,failure,yes
24,unemployed,2573,no,no,cellular,may,2,-1,unknown,yes
71,retired,2600,no,no,cellular,nov,2,98,success,yes
57,blue-collar,3109,no,no,cellular,jun,2,-1,unknown,yes
51,entrepreneur,83,no,no,cellular,apr,2,-1,unknown,yes
46,technician,792,no,no,unknown,jun,2,-1,unknown,no
22,student,2162,no,no,telephone,feb,1,-1,unknown,no
53,admin.,1796,no,no,telephone,mar,1,91,success,yes
45,services,0,yes,yes,cellular,nov,1,192,failure,no
41,services,-675,yes,yes,cellular,mar,4,-1,unknown,yes
32,unemployed,1026,yes,no,cellular,may,1,-1,unknown,yes
75,retired,1341,no,no,cellular,dec,7,-1,unknown,yes
33,technician,133,no,no,cellular,nov,2,192,success,yes
41,retired,-233,yes,no,unknown,may,2,-1,unknown,yes
60,technician,367,no,no,cellular,aug,2,-1,unknown,yes
32,entrepreneur,-242,yes,no,cellular,apr,3,-1,unknown,yes
36,admin.,542,yes,no,unknown,jun,6,-1,unknown,no
32,blue-collar,333,yes,no,cellular,may,2,-1,unknown,yes
38,blue-collar,2467,no,no,cellular,jun,1,-1,unknown,yes
34,management,3301,yes,no,cellular,jun,2,227,failure,yes
32,admin.,-241,no,yes,unknown,jun,2,-1,unknown,yes
32,management,131,yes,yes,cellular,jul,2,-1,unknown,yes
34,services,528,yes,no,cellular,sep,3,100,other,yes
